Id,Character,Game
1,Brimstone,Valorant
2,Viper,Valorant
3,Omen,Valorant
4,Killjoy,Valorant
5,Cypher,Valorant
6,Sova,Valorant
7,Sage,Valorant
8,Phoenix,Valorant
9,Jett,Valorant
10,Reyna,Valorant
11,Raze,Valorant
12,Breach,Valorant
13,Skye,Valorant
14,Yoru,Valorant
15,Astra,Valorant
16,KAYO,Valorant
17,Chamber,Valorant
18,Neon,Valorant
19,Fade,Valorant
20,Harbor,Valorant
21,Gekko,Valorant
22,Deadlock,Valorant
23,Iso,Valorant
24,AATROX,League Of Legends
25,AHRI,League Of Legends
26,AKALI,League Of Legends
27,AKSHAN,League Of Legends
28,ALISTAR,League Of Legends
29,AMUMU,League Of Legends
30,ANIVIA,League Of Legends
31,ANNIE,League Of Legends
32,APHELIOS,League Of Legends
33,ASHE,League Of Legends
34,AURELION SOL,League Of Legends
35,AZIR,League Of Legends
36,BARD,League Of Legends
37,BEL'VETH,League Of Legends
38,BLITZCRANK,League Of Legends
39,BRAND,League Of Legends
40,BRAUM,League Of Legends
41,BRIAR,League Of Legends
42,CAITLYN,League Of Legends
43,CAMILLE,League Of Legends
44,CASSIOPEIA,League Of Legends
45,CHO'GATH,League Of Legends
46,CORKI,League Of Legends
47,DARIUS,League Of Legends
48,DIANA,League Of Legends
49,DR. MUNDO,League Of Legends
50,DRAVEN,League Of Legends
51,EKKO,League Of Legends
52,ELISE,League Of Legends
53,EVELYNN,League Of Legends
54,EZREAL,League Of Legends
55,FIDDLESTICKS,League Of Legends
56,FIORA,League Of Legends
57,FIZZ,League Of Legends
58,GALIO,League Of Legends
59,GANGPLANK,League Of Legends
60,GAREN,League Of Legends
61,GNAR,League Of Legends
62,GRAGAS,League Of Legends
63,GRAVES,League Of Legends
64,GWEN,League Of Legends
65,HECARIM,League Of Legends
66,HEIMERDINGER,League Of Legends
67,ILLAOI,League Of Legends
68,IRELIA,League Of Legends
69,IVERN,League Of Legends
70,JANNA,League Of Legends
71,JARVAN IV,League Of Legends
72,JAX,League Of Legends
73,JAYCE,League Of Legends
74,JHIN,League Of Legends
75,JINX,League Of Legends
76,K'SANTE,League Of Legends
77,KAI'SA,League Of Legends
78,KALISTA,League Of Legends
79,KARMA,League Of Legends
80,KARTHUS,League Of Legends
81,KASSADIN,League Of Legends
82,KATARINA,League Of Legends
83,KAYLE,League Of Legends
84,KAYN,League Of Legends
85,KENNEN,League Of Legends
86,KHA'ZIX,League Of Legends
87,KINDRED,League Of Legends
88,KLED,League Of Legends
89,KOG'MAW,League Of Legends
90,LEBLANC,League Of Legends
91,LEE SIN,League Of Legends
92,LEONA,League Of Legends
93,LILLIA,League Of Legends
94,LISSANDRA,League Of Legends
95,LUCIAN,League Of Legends
96,LULU,League Of Legends
97,LUX,League Of Legends
98,MALPHITE,League Of Legends
99,MALZAHAR,League Of Legends
100,MAOKAI,League Of Legends
101,MASTER YI,League Of Legends
102,MILIO,League Of Legends
103,MISS FORTUNE,League Of Legends
104,MORDEKAISER,League Of Legends
105,MORGANA,League Of Legends
106,NAAFIRI,League Of Legends
107,NAMI,League Of Legends
108,NASUS,League Of Legends
109,NAUTILUS,League Of Legends
110,NEEKO,League Of Legends
111,NIDALEE,League Of Legends
112,NILAH,League Of Legends
113,NOCTURNE,League Of Legends
114,NUNU & WILLUMP,League Of Legends
115,OLAF,League Of Legends
116,ORIANNA,League Of Legends
117,ORNN,League Of Legends
118,PANTHEON,League Of Legends
119,POPPY,League Of Legends
120,PYKE,League Of Legends
121,QIYANA,League Of Legends
122,QUINN,League Of Legends
123,RAKAN,League Of Legends
124,RAMMUS,League Of Legends
125,REK'SAI,League Of Legends
126,RELL,League Of Legends
127,RENATA GLASC,League Of Legends
128,RENEKTON,League Of Legends
129,RENGAR,League Of Legends
130,RIVEN,League Of Legends
131,RUMBLE,League Of Legends
132,RYZE,League Of Legends
133,SAMIRA,League Of Legends
134,SEJUANI,League Of Legends
135,SENNA,League Of Legends
136,SERAPHINE,League Of Legends
137,SETT,League Of Legends
138,SHACO,League Of Legends
139,SHEN,League Of Legends
140,SHYVANA,League Of Legends
141,SINGED,League Of Legends
142,SION,League Of Legends
143,SIVIR,League Of Legends
144,SKARNER,League Of Legends
145,SONA,League Of Legends
146,SORAKA,League Of Legends
147,SWAIN,League Of Legends
148,SYLAS,League Of Legends
149,SYNDRA,League Of Legends
150,TAHM KENCH,League Of Legends
151,TALIYAH,League Of Legends
152,TALON,League Of Legends
153,TARIC,League Of Legends
154,TEEMO,League Of Legends
155,THRESH,League Of Legends
156,TRISTANA,League Of Legends
157,TRUNDLE,League Of Legends
158,TRYNDAMERE,League Of Legends
159,TWISTED FATE,League Of Legends
160,TWITCH,League Of Legends
161,UDYR,League Of Legends
162,URGOT,League Of Legends
163,VARUS,League Of Legends
164,VAYNE,League Of Legends
165,VEIGAR,League Of Legends
166,VEL'KOZ,League Of Legends
167,VEX,League Of Legends
168,VI,League Of Legends
169,VIEGO,League Of Legends
170,VIKTOR,League Of Legends
171,VLADIMIR,League Of Legends
172,VOLIBEAR,League Of Legends
173,WARWICK,League Of Legends
174,WUKONG,League Of Legends
175,XAYAH,League Of Legends
176,XERATH,League Of Legends
177,XIN ZHAO,League Of Legends
178,YASUO,League Of Legends
179,YONE,League Of Legends
180,YORICK,League Of Legends
